,EEG
0,-819.2
1,-802.816
2,-802.816
3,-802.816
4,-819.2
5,-802.816
6,-802.816
7,-753.664
8,-753.664
9,-786.432
10,-851.968
11,-835.584
12,-802.816
13,-753.664
14,-737.28
15,-770.048
16,-786.432
17,-770.048
18,-720.896
19,-737.28
20,-884.736
21,-1032.192
22,-1032.192
23,-819.2
24,-622.592
25,-688.128
26,-720.896
27,-770.048
28,-737.28
29,-720.896
30,-720.896
31,-720.896
32,-737.28
33,-753.664
34,-786.432
35,-802.816
36,-770.048
37,-753.664
38,-737.28
39,-753.664
40,-770.048
41,-737.28
42,-770.048
43,-786.432
44,-753.664
45,-770.048
46,-737.28
47,-770.048
48,-786.432
49,-770.048
50,-770.048
51,-770.048
52,-770.048
53,-819.2
54,-835.584
55,-835.584
56,-802.816
57,-835.584
58,-819.2
59,-835.584
60,-802.816
61,-802.816
62,-802.816
63,-802.816
64,-802.816
65,-770.048
66,-753.664
67,-753.664
68,-770.048
69,-753.664
70,-786.432
71,-786.432
72,-786.432
73,-786.432
74,-753.664
75,-786.432
76,-770.048
77,-770.048
78,-770.048
79,-770.048
80,-737.28
81,-786.432
82,-753.664
83,-786.432
84,-786.432
85,-737.28
86,-770.048
87,-753.664
88,-770.048
89,-753.664
90,-753.664
91,-770.048
92,-753.664
93,-737.28
94,-770.048
95,-770.048
96,-802.816
97,-770.048
98,-720.896
99,-737.28
100,-720.896
101,-753.664
102,-704.512
103,-704.512
104,-688.128
105,-704.512
106,-835.584
107,-966.656
108,-983.04
109,-901.12
110,-655.36
111,-638.976
112,-704.512
113,-704.512
114,-737.28
115,-704.512
116,-737.28
117,-770.048
118,-753.664
119,-753.664
120,-770.048
121,-737.28
122,-786.432
123,-753.664
124,-770.048
125,-753.664
126,-753.664
127,-770.048
128,-720.896
129,-753.664
130,-770.048
131,-753.664
132,-770.048
133,-737.28
134,-786.432
135,-770.048
136,-753.664
137,-786.432
138,-802.816
139,-802.816
140,-819.2
141,-770.048
142,-802.816
143,-786.432
144,-786.432
145,-786.432
146,-819.2
147,-835.584
148,-835.584
149,-819.2
150,-819.2
151,-786.432
152,-802.816
153,-802.816
154,-786.432
155,-802.816
156,-786.432
157,-770.048
158,-819.2
159,-802.816
160,-835.584
161,-786.432
162,-786.432
163,-786.432
164,-770.048
165,-802.816
166,-786.432
167,-753.664
168,-770.048
169,-770.048
170,-802.816
171,-835.584
172,-819.2
173,-819.2
174,-720.896
175,-786.432
176,-786.432
177,-786.432
178,-819.2
179,-802.816
180,-819.2
181,-819.2
182,-753.664
183,-786.432
184,-786.432
185,-868.352
186,-868.352
187,-786.432
188,-770.048
189,-753.664
190,-753.664
191,-753.664
192,-786.432
193,-1015.808
194,-1097.728
195,-1015.808
196,-802.816
197,-622.592
198,-671.744
199,-753.664
200,-753.664
201,-770.048
202,-770.048
203,-802.816
204,-819.2
205,-786.432
206,-802.816
207,-770.048
208,-770.048
209,-786.432
210,-770.048
211,-802.816
212,-786.432
213,-753.664
214,-786.432
215,-720.896
216,-720.896
217,-720.896
218,-720.896
219,-770.048
220,-753.664
221,-753.664
222,-770.048
223,-753.664
224,-770.048
225,-802.816
226,-819.2
227,-851.968
228,-851.968
229,-851.968
230,-802.816
231,-802.816
232,-835.584
233,-819.2
234,-835.584
235,-835.584
236,-786.432
237,-835.584
238,-786.432
239,-819.2
240,-835.584
