# seq, timestamp, rtor, hr
1,91.714,0,0
2,91.775,992,60
3,91.838,992,60
4,91.900,992,60
5,91.965,992,60
6,92.026,992,60
7,92.089,992,60
8,92.151,992,60
9,92.213,992,60
10,92.275,992,60
11,92.339,992,60
12,92.400,992,60
13,92.464,992,60
14,92.526,992,60
15,92.588,992,60
16,92.650,992,60
17,92.713,984,60
18,92.775,984,60
19,92.837,984,60
20,92.901,984,60
21,92.964,984,60
22,93.026,984,60
23,93.088,984,60
24,93.151,984,60
25,93.213,984,60
26,93.275,984,60
27,93.337,984,60
28,93.400,984,60
29,93.462,984,60
30,93.524,984,60
31,93.588,984,60
32,93.650,984,60
33,93.712,984,60
34,93.774,1088,55
35,93.838,1088,55
36,93.900,1088,55
37,93.963,1088,55
38,94.025,1088,55
39,94.087,1088,55
40,94.149,1088,55
41,94.213,1088,55
42,94.275,1088,55
43,94.337,1088,55
44,94.399,1088,55
45,94.462,1088,55
46,94.524,1088,55
47,94.587,1088,55
48,94.650,1088,55
49,94.712,1088,55
50,94.774,1056,56
51,94.837,1056,56
52,94.899,1056,56
53,94.962,1056,56
54,95.024,1056,56
55,95.086,1056,56
56,95.148,1056,56
57,95.212,1056,56
58,95.274,1056,56
59,95.336,1056,56
60,95.398,1056,56
61,95.462,1056,56
62,95.524,1056,56
63,95.586,1056,56
64,95.649,1056,56
65,95.712,1056,56
66,95.774,1016,59
67,95.836,1016,59
68,95.898,1016,59
69,95.962,1016,59
70,96.023,1016,59
71,96.086,1016,59
72,96.148,1016,59
73,96.210,1016,59
74,96.274,1016,59
75,96.336,1016,59
76,96.398,1016,59
77,96.461,1016,59
78,96.523,1016,59
79,96.585,1016,59
80,96.649,1016,59
81,96.711,976,61
82,96.773,976,61
83,96.835,976,61
84,96.897,976,61
85,96.961,976,61
86,97.023,976,61
87,97.085,976,61
88,97.147,976,61
89,97.211,976,61
90,97.272,976,61
91,97.335,976,61
92,97.397,976,61
93,97.461,976,61
94,97.523,976,61
95,97.586,976,61
96,97.648,904,66
97,97.710,904,66
98,97.772,904,66
99,97.834,904,66
100,97.898,904,66
101,97.959,904,66
102,98.023,904,66
103,98.085,904,66
104,98.147,904,66
105,98.209,904,66
106,98.273,904,66
107,98.336,904,66
108,98.397,904,66
109,98.459,904,66
110,98.523,904,66
111,98.585,904,66
112,98.647,904,66
113,98.709,904,66
114,98.771,904,66
115,98.835,904,66
116,98.896,904,66
117,98.959,904,66
118,99.021,904,66
119,99.085,904,66
120,99.147,904,66
121,99.210,904,66
122,99.272,904,66
123,99.334,904,66
124,99.397,904,66
125,99.459,904,66
126,99.521,904,66
127,99.583,904,66
128,99.647,904,66
129,99.709,904,66
130,99.772,904,66
131,99.834,904,66
132,99.896,904,66
133,99.958,904,66
134,100.022,904,66
135,100.085,904,66
136,100.146,904,66
137,100.209,904,66
138,100.271,904,66
139,100.334,904,66
140,100.396,904,66
141,100.458,904,66
142,100.520,904,66
143,100.583,3024,19
144,100.646,3024,19
145,100.708,3024,19
146,100.770,3024,19
147,100.834,3024,19
148,100.896,3024,19
149,100.958,3024,19
150,101.020,3024,19
151,101.083,3024,19
152,101.145,3024,19
153,101.207,3024,19
154,101.271,3024,19
155,101.333,3024,19
156,101.395,3024,19
157,101.458,3024,19
158,101.521,3024,19
159,101.582,1000,60
160,101.647,1000,60
161,101.708,1000,60
