timestamp;ECG
1;-819.2
1,125;-802.816
1,25;-802.816
1,375;-802.816
1,5;-819.2
1,625;-802.816
1,75;-802.816
1,875;-753.664
2;-753.664
2,125;-786.432
2,25;-851.9680000000001
2,375;-835.584
2,5;-802.816
2,625;-753.664
2,75;-737.28
2,875;-770.048
3;-786.432
3,125;-770.048
3,25;-720.8960000000001
3,375;-737.28
3,5;-884.7360000000001
3,625;-1032.192
3,75;-1032.192
3,875;-819.2
4;-622.592
4,125;-688.128
4,25;-720.8960000000001
4,375;-770.048
4,5;-737.28
4,625;-720.8960000000001
4,75;-720.8960000000001
4,875;-720.8960000000001
5;-737.28
5,125;-753.664
5,25;-786.432
5,375;-802.816
5,5;-770.048
5,625;-753.664
5,75;-737.28
5,875;-753.664
6;-770.048
6,125;-737.28
6,25;-770.048
6,375;-786.432
6,5;-753.664
6,625;-770.048
6,75;-737.28
6,875;-770.048
7;-786.432
7,125;-770.048
7,25;-770.048
7,375;-770.048
7,5;-770.048
7,625;-819.2
7,75;-835.584
7,875;-835.584
8;-802.816
8,125;-835.584
8,25;-819.2
8,375;-835.584
8,5;-802.816
8,625;-802.816
8,75;-802.816
8,875;-802.816
9;-802.816
9,125;-770.048
9,25;-753.664
9,375;-753.664
9,5;-770.048
9,625;-753.664
9,75;-786.432
9,875;-786.432
10;-786.432
10,125;-786.432
10,25;-753.664
10,375;-786.432
10,5;-770.048
10,625;-770.048
10,75;-770.048
10,875;-770.048
11;-737.28
11,125;-786.432
11,25;-753.664
11,375;-786.432
11,5;-786.432
11,625;-737.28
11,75;-770.048
11,875;-753.664
12;-770.048
12,125;-753.664
12,25;-753.664
12,375;-770.048
12,5;-753.664
12,625;-737.28
12,75;-770.048
12,875;-770.048
13;-802.816
13,125;-770.048
13,25;-720.8960000000001
13,375;-737.28
13,5;-720.8960000000001
13,625;-753.664
13,75;-704.512
13,875;-704.512
14;-688.128
14,125;-704.512
14,25;-835.584
14,375;-966.6560000000001
14,5;-983.04
14,625;-901.12
14,75;-655.36
14,875;-638.976
15;-704.512
15,125;-704.512
15,25;-737.28
15,375;-704.512
15,5;-737.28
15,625;-770.048
15,75;-753.664
15,875;-753.664
16;-770.048
16,125;-737.28
16,25;-786.432
16,375;-753.664
16,5;-770.048
16,625;-753.664
16,75;-753.664
16,875;-770.048
17;-720.8960000000001
17,125;-753.664
17,25;-770.048
17,375;-753.664
17,5;-770.048
17,625;-737.28
17,75;-786.432
17,875;-770.048
18;-753.664
18,125;-786.432
18,25;-802.816
18,375;-802.816
18,5;-819.2
18,625;-770.048
18,75;-802.816
18,875;-786.432
19;-786.432
19,125;-786.432
19,25;-819.2
19,375;-835.584
19,5;-835.584
19,625;-819.2
19,75;-819.2
19,875;-786.432
20;-802.816
20,125;-802.816
20,25;-786.432
20,375;-802.816
20,5;-786.432
20,625;-770.048
20,75;-819.2
20,875;-802.816
21;-835.584
21,125;-786.432
21,25;-786.432
21,375;-786.432
21,5;-770.048
21,625;-802.816
21,75;-786.432
21,875;-753.664
22;-770.048
22,125;-770.048
22,25;-802.816
22,375;-835.584
22,5;-819.2
22,625;-819.2
22,75;-720.8960000000001
22,875;-786.432
23;-786.432
23,125;-786.432
23,25;-819.2
23,375;-802.816
23,5;-819.2
23,625;-819.2
23,75;-753.664
23,875;-786.432
24;-786.432
24,125;-868.352
24,25;-868.352
24,375;-786.432
24,5;-770.048
24,625;-753.664
24,75;-753.664
24,875;-753.664
25;-786.432
25,125;-1015.808
25,25;-1097.728
25,375;-1015.808
25,5;-802.816
25,625;-622.592
25,75;-671.7439999999999
25,875;-753.664
26;-753.664
26,125;-770.048
26,25;-770.048
26,375;-802.816
26,5;-819.2
26,625;-786.432
26,75;-802.816
26,875;-770.048
27;-770.048
27,125;-786.432
27,25;-770.048
27,375;-802.816
27,5;-786.432
27,625;-753.664
27,75;-786.432
27,875;-720.8960000000001
28;-720.8960000000001
28,125;-720.8960000000001
28,25;-720.8960000000001
28,375;-770.048
28,5;-753.664
28,625;-753.664
28,75;-770.048
28,875;-753.664
29;-770.048
29,125;-802.816
29,25;-819.2
29,375;-851.9680000000001
29,5;-851.9680000000001
29,625;-851.9680000000001
29,75;-802.816
29,875;-802.816
30;-835.584
30,125;-819.2
30,25;-835.584
30,375;-835.584
30,5;-786.432
30,625;-835.584
30,75;-786.432
30,875;-819.2
31;-835.584
31,125;-802.816
31,25;-835.584
31,375;-786.432
31,5;-819.2
31,625;-819.2
31,75;-786.432
31,875;-786.432
32;-753.664
32,125;-786.432
32,25;-835.584
32,375;-802.816
32,5;-851.9680000000001
32,625;-819.2
32,75;-802.816
32,875;-819.2
33;-802.816
33,125;-819.2
33,25;-819.2
33,375;-786.432
33,5;-802.816
33,625;-770.048
33,75;-802.816
33,875;-835.584
34;-819.2
34,125;-835.584
34,25;-819.2
34,375;-802.816
34,5;-835.584
34,625;-786.432
34,75;-802.816
34,875;-786.432
35;-819.2
35,125;-802.816
35,25;-786.432
35,375;-753.664
35,5;-770.048
35,625;-966.6560000000001
35,75;-1097.728
35,875;-1032.192
36;-802.816
36,125;-688.128
36,25;-688.128
36,375;-753.664
36,5;-720.8960000000001
36,625;-753.664
36,75;-770.048
36,875;-753.664
37;-737.28
37,125;-753.664
37,25;-753.664
37,375;-770.048
37,5;-737.28
37,625;-753.664
37,75;-720.8960000000001
37,875;-737.28
38;-770.048
38,125;-753.664
38,25;-737.28
38,375;-753.664
38,5;-753.664
38,625;-819.2
38,75;-753.664
38,875;-720.8960000000001
39;-704.512
39,125;-737.28
39,25;-786.432
39,375;-753.664
39,5;-737.28
39,625;-786.432
39,75;-770.048
39,875;-802.816
40;-786.432
40,125;-786.432
40,25;-802.816
40,375;-802.816
40,5;-802.816
40,625;-770.048
40,75;-786.432
40,875;-802.816
41;-770.048
41,125;-770.048
41,25;-786.432
41,375;-802.816
41,5;-835.584
41,625;-802.816
41,75;-770.048
41,875;-770.048
42;-770.048
42,125;-802.816
42,25;-753.664
42,375;-770.048
42,5;-802.816
42,625;-786.432
42,75;-802.816
42,875;-786.432
43;-770.048
43,125;-819.2
43,25;-786.432
43,375;-770.048
43,5;-753.664
43,625;-802.816
43,75;-819.2
43,875;-770.048
44;-753.664
44,125;-770.048
44,25;-802.816
44,375;-819.2
44,5;-786.432
44,625;-786.432
44,75;-802.816
44,875;-802.816
45;-802.816
45,125;-770.048
45,25;-819.2
45,375;-835.584
45,5;-786.432
45,625;-753.664
45,75;-704.512
45,875;-851.9680000000001
46;-1081.344
46,125;-1064.96
46,25;-983.04
46,375;-770.048
46,5;-688.128
46,625;-753.664
46,75;-720.8960000000001
46,875;-753.664
47;-786.432
47,125;-753.664
47,25;-786.432
47,375;-737.28
47,5;-770.048
47,625;-802.816
47,75;-770.048
47,875;-802.816
48;-786.432
48,125;-786.432
48,25;-802.816
48,375;-753.664
48,5;-770.048
48,625;-753.664
48,75;-770.048
48,875;-786.432
49;-737.28
49,125;-753.664
49,25;-753.664
49,375;-770.048
49,5;-802.816
49,625;-770.048
49,75;-770.048
49,875;-802.816
50;-786.432
50,125;-819.2
50,25;-819.2
50,375;-786.432
50,5;-819.2
50,625;-802.816
50,75;-819.2
50,875;-802.816
51;-819.2
51,125;-786.432
51,25;-802.816
51,375;-835.584
51,5;-851.9680000000001
51,625;-851.9680000000001
51,75;-819.2
51,875;-770.048
52;-835.584
52,125;-851.9680000000001
52,25;-835.584
52,375;-802.816
52,5;-770.048
52,625;-786.432
52,75;-819.2
52,875;-802.816
53;-835.584
53,125;-770.048
53,25;-802.816
53,375;-786.432
53,5;-786.432
53,625;-802.816
53,75;-819.2
